name,mean_counts,genre,cluster
Death Note,0.6275787187839305,"Mystery, Police, Psychological, Supernatural, Thriller",0
Code Geass: Hangyaku no Lelouch,0.6243213897937026,"Action, Mecha, Military, School, Sci-Fi, Super Power",0
Sen to Chihiro no Kamikakushi,0.5868017854988539,"Adventure, Drama, Supernatural",0
Code Geass: Hangyaku no Lelouch R2,0.5636385571238991,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",0
Tengen Toppa Gurren Lagann,0.5196042948485945,"Action, Adventure, Comedy, Mecha, Sci-Fi",0
Cowboy Bebop,0.5174327421884425,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0
Fullmetal Alchemist,0.5156231149716491,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",0
Fullmetal Alchemist: Brotherhood,0.5068162625165883,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",0
Mononoke Hime,0.5046447098564363,"Action, Adventure, Fantasy",0
Neon Genesis Evangelion,0.48558330317287973,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",0
Suzumiya Haruhi no Yuuutsu,0.47038243455181566,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",0
Howl no Ugoku Shiro,0.4659186874170588,"Adventure, Drama, Fantasy, Romance",0
Toki wo Kakeru Shoujo,0.43877427916515865,"Adventure, Drama, Romance, Sci-Fi",0
Samurai Champloo,0.43189769574134396,"Action, Adventure, Comedy, Historical, Samurai, Shounen",0
Toradora!,0.42586560501869947,"Comedy, Romance, School, Slice of Life",0
Elfen Lied,0.41959223066714924,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",0
Darker than Black: Kuro no Keiyakusha,0.39667028592110026,"Action, Mystery, Sci-Fi, Super Power",0
Steins;Gate,0.3891904934250211,"Sci-Fi, Thriller",0
Clannad,0.38762214983713356,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",0
Baccano!,0.3791772228254313,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",0
Durarara!!,0.37519604294848596,"Action, Mystery, Supernatural",0
Clannad: After Story,0.36590662323561346,"Drama, Fantasy, Romance, Slice of Life, Supernatural",0
Black Lagoon,0.3643382796477259,"Action, Seinen",0
FLCL,0.36180480154421524,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",0
Byousoku 5 Centimeter,0.3584268307395343,"Drama, Romance, Slice of Life",0
Mahou Shoujo Madoka★Magica,0.3464832911086983,"Drama, Magic, Psychological, Thriller",0
Bakemonogatari,0.3408131258294125,"Mystery, Romance, Supernatural, Vampire",0
Ouran Koukou Host Club,0.3385209313548076,"Comedy, Harem, Romance, School, Shoujo",0
Trigun,0.3361080950657498,"Action, Comedy, Sci-Fi",0
Angel Beats!,0.3352636023645796,"Action, Comedy, Drama, School, Supernatural",0
NHK ni Youkoso!,0.3316443479309929,"Comedy, Drama, Psychological, Romance",0
Neon Genesis Evangelion: The End of Evangelion,0.33092049704427556,"Dementia, Drama, Mecha, Psychological, Sci-Fi",0
Great Teacher Onizuka,0.3270599589817831,"Comedy, Drama, School, Shounen, Slice of Life",0
Higurashi no Naku Koro ni,0.3266980335384244,"Horror, Mystery, Psychological, Supernatural, Thriller",0
Tonari no Totoro,0.3258535408372542,"Adventure, Comedy, Supernatural",0
Ookami to Koushinryou,0.32307877910483773,"Adventure, Fantasy, Historical, Romance",0
Black Lagoon: The Second Barrage,0.31620219568102303,"Action, Seinen",0
Higashi no Eden,0.30401737242128124,"Action, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",0
Shingeki no Kyojin,0.30184581976112923,"Action, Drama, Fantasy, Shounen, Super Power",0
Ghost in the Shell,0.29931234165761855,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",0
Soul Eater,0.29774399806973095,"Action, Adventure, Comedy, Fantasy, Shounen, Supernatural",0
Full Metal Panic? Fumoffu,0.29605501266739054,"Action, Comedy, School",0
Akira,0.2901435637591989,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",0
Summer Wars,0.28700687658342383,"Comedy, Sci-Fi",0
Evangelion: 1.0 You Are (Not) Alone,0.28531789118108336,"Action, Mecha, Sci-Fi",0
Full Metal Panic!,0.28447339847991315,"Action, Comedy, Mecha, Military, Sci-Fi",0
Mushishi,0.2810954276752322,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",0
Cowboy Bebop: Tengoku no Tobira,0.274822053323682,"Action, Drama, Mystery, Sci-Fi, Space",0
Suzumiya Haruhi no Shoushitsu,0.2747014115092291,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",0
Evangelion: 2.0 You Can (Not) Advance,0.2703583061889251,"Action, Mecha, Sci-Fi",0
Lucky☆Star,0.2673422608276029,"Comedy, Parody, School, Slice of Life",0
Hotaru no Haka,0.26613584268307394,"Drama, Historical",0
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,0.2648087827240922,"Drama, Slice of Life, Supernatural",0
Kaze no Tani no Nausicaä,0.26191337917722285,"Adventure, Fantasy",0
K-On!,0.2599831101459766,"Comedy, Music, School, Slice of Life",0
Claymore,0.25937990107371217,"Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural",0
Fate/Zero,0.25503679575340815,"Action, Fantasy, Supernatural",0
Higurashi no Naku Koro ni Kai,0.25455422849559656,"Mystery, Psychological, Supernatural, Thriller",0
Paprika,0.24719507781397032,"Fantasy, Horror, Mystery, Psychological, Sci-Fi, Thriller",0
Full Metal Panic! The Second Raid,0.24574737604053565,"Action, Mecha, Military",0
Ergo Proxy,0.24562673422608275,"Mystery, Psychological, Sci-Fi",0
Ghost in the Shell: Stand Alone Complex,0.24442031608155387,"Action, Mecha, Military, Police, Sci-Fi, Seinen",0
Fate/stay night,0.24309325612257207,"Action, Fantasy, Magic, Romance, Supernatural",0
Tenkuu no Shiro Laputa,0.2406804198335143,"Adventure, Fantasy, Romance, Sci-Fi",0
Hellsing,0.2348896127397756,"Action, Horror, Seinen, Supernatural, Vampire",0
Fullmetal Alchemist: The Conqueror of Shamballa,0.23464832911086983,"Comedy, Drama, Fantasy, Historical, Military, Shounen",0
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,0.2327180600796236,"Action, Drama, Historical, Martial Arts, Romance, Samurai",0
Eureka Seven,0.22560019302690312,"Adventure, Drama, Mecha, Romance, Sci-Fi",0
Ookami to Koushinryou II,0.22198093859331644,"Adventure, Fantasy, Historical, Romance",0
Majo no Takkyuubin,0.22077452044878754,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",0
Dragon Ball Z,0.220291953190976,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",0
Final Fantasy VII: Advent Children,0.21787911690191822,"Action, Fantasy, Super Power",0
Fate/Zero 2nd Season,0.21715526601520088,"Action, Fantasy, Supernatural, Thriller",0
Berserk,0.2135360115816142,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",0
Sayonara Zetsubou Sensei,0.21051996622029195,"Comedy, Parody, School",0
Psycho-Pass,0.20991675714802752,"Action, Police, Psychological, Sci-Fi",0
Rurouni Kenshin: Meiji Kenkaku Romantan,0.20907226444685728,"Action, Adventure, Comedy, Historical, Romance, Samurai",0
Azumanga Daioh,0.2075039208589697,"Comedy, School, Slice of Life",0
Serial Experiments Lain,0.20304017372421282,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",0
Beck,0.20002412836289057,"Comedy, Drama, Music, Shounen, Slice of Life",0
Kara no Kyoukai 5: Mujun Rasen,0.198455784775003,"Action, Drama, Mystery, Romance, Supernatural, Thriller",0
Chobits,0.1976112920738328,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",0
Kara no Kyoukai 1: Fukan Fuukei,0.19459524671251055,"Action, Mystery, Supernatural, Thriller",0
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",0.19459524671251055,"Drama, Romance, School, Slice of Life",0
Kara no Kyoukai 3: Tsuukaku Zanryuu,0.19447460489805768,"Action, Drama, Mystery, Supernatural, Thriller",0
Naruto,0.19363011219688744,"Action, Comedy, Martial Arts, Shounen, Super Power",0
Nodame Cantabile,0.19338882856798167,"Comedy, Drama, Josei, Music, Romance, Slice of Life",0
Highschool of the Dead,0.19314754493907588,"Action, Ecchi, Horror, Supernatural",0
Lovely★Complex,0.19157920135118833,"Comedy, Romance, Shoujo",0
Shakugan no Shana,0.19109663409337677,"Action, Drama, Fantasy, Romance, School, Supernatural",0
School Rumble,0.1907347086500181,"Comedy, Romance, School, Shounen",0
Usagi Drop,0.19049342502111233,"Josei, Slice of Life",0
Dragon Ball,0.19025214139220653,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",0
Kanon (2006),0.19001085776330076,"Drama, Romance, Slice of Life, Supernatural",0
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),0.1884425141754132,"Action, Mystery, Romance, Supernatural, Thriller",0
Stranger: Mukou Hadan,0.18663288695861985,"Action, Adventure, Historical, Samurai",0
Kimi ni Todoke,0.1850645433707323,"Romance, School, Shoujo, Slice of Life",0
Baccano! Specials,0.1837374834117505,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",0
Sword Art Online,0.18120400530823982,"Action, Adventure, Fantasy, Game, Romance",0
Ghost in the Shell: Stand Alone Complex 2nd GIG,0.17987694534925805,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",0
Shingeki no Kyojin,0.6715151515151515,"Action, Drama, Fantasy, Shounen, Super Power",1
Death Note,0.5783682983682984,"Mystery, Police, Psychological, Supernatural, Thriller",1
No Game No Life,0.5731468531468531,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",1
Angel Beats!,0.5708158508158508,"Action, Comedy, Drama, School, Supernatural",1
Sword Art Online,0.5684848484848485,"Action, Adventure, Fantasy, Game, Romance",1
Steins;Gate,0.5593473193473193,"Sci-Fi, Thriller",1
Fullmetal Alchemist: Brotherhood,0.5452680652680653,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",1
Code Geass: Hangyaku no Lelouch,0.512074592074592,"Action, Mecha, Military, School, Sci-Fi, Super Power",1
Code Geass: Hangyaku no Lelouch R2,0.491002331002331,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",1
Toradora!,0.48568764568764566,"Comedy, Romance, School, Slice of Life",1
Mirai Nikki (TV),0.46806526806526805,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",1
One Punch Man,0.4461538461538462,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",1
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,0.4141724941724942,"Drama, Slice of Life, Supernatural",1
Clannad: After Story,0.4068997668997669,"Drama, Fantasy, Romance, Slice of Life, Supernatural",1
Tokyo Ghoul,0.3973892773892774,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",1
Kiseijuu: Sei no Kakuritsu,0.38965034965034967,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",1
Noragami,0.3788344988344988,"Action, Adventure, Shounen, Supernatural",1
Clannad,0.36876456876456876,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",1
Psycho-Pass,0.3683916083916084,"Action, Police, Psychological, Sci-Fi",1
Fate/Zero,0.36596736596736595,"Action, Fantasy, Supernatural",1
Sakurasou no Pet na Kanojo,0.3654079254079254,"Comedy, Drama, Romance, School, Slice of Life",1
Shigatsu wa Kimi no Uso,0.35114219114219114,"Drama, Music, Romance, School, Shounen",1
Tengen Toppa Gurren Lagann,0.34321678321678323,"Action, Adventure, Comedy, Mecha, Sci-Fi",1
Fate/Zero 2nd Season,0.34321678321678323,"Action, Fantasy, Supernatural, Thriller",1
Durarara!!,0.34237762237762237,"Action, Mystery, Supernatural",1
Hataraku Maou-sama!,0.33734265734265734,"Comedy, Demons, Fantasy, Romance, Shounen",1
Bakemonogatari,0.332027972027972,"Mystery, Romance, Supernatural, Vampire",1
Ao no Exorcist,0.32904428904428906,"Action, Demons, Fantasy, Shounen, Supernatural",1
Boku dake ga Inai Machi,0.3271794871794872,"Mystery, Psychological, Seinen, Supernatural",1
Another,0.32400932400932403,"Horror, Mystery, School, Supernatural, Thriller",1
Kill la Kill,0.3202797202797203,"Action, Comedy, School, Super Power",1
Guilty Crown,0.3133799533799534,"Action, Drama, Sci-Fi, Super Power",1
Death Parade,0.304988344988345,"Drama, Game, Mystery, Psychological, Thriller",1
Log Horizon,0.3036829836829837,"Action, Adventure, Fantasy, Game, Magic, Shounen",1
Akame ga Kill!,0.3005128205128205,"Action, Adventure, Fantasy",1
Chuunibyou demo Koi ga Shitai!,0.2994871794871795,"Comedy, Drama, Romance, School, Slice of Life",1
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,0.2982750582750583,"Comedy, Drama, Romance, School",1
Fairy Tail,0.2951981351981352,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",1
Mahou Shoujo Madoka★Magica,0.2910955710955711,"Drama, Magic, Psychological, Thriller",1
Kuroko no Basket,0.29016317016317017,"Comedy, School, Shounen, Sports",1
Shokugeki no Souma,0.28923076923076924,"Ecchi, School, Shounen",1
Zankyou no Terror,0.27897435897435896,"Psychological, Thriller",1
Hunter x Hunter (2011),0.27813519813519816,"Action, Adventure, Shounen, Super Power",1
Elfen Lied,0.2773892773892774,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",1
Sen to Chihiro no Kamikakushi,0.2742191142191142,"Adventure, Drama, Supernatural",1
Nanatsu no Taizai,0.2714219114219114,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",1
Nisekoi,0.2662937062937063,"Comedy, Harem, Romance, School, Shounen",1
Highschool of the Dead,0.26489510489510487,"Action, Ecchi, Horror, Supernatural",1
Fate/stay night: Unlimited Blade Works,0.2565034965034965,"Action, Fantasy, Magic, Shounen, Supernatural",1
Magi: The Labyrinth of Magic,0.25361305361305364,"Action, Adventure, Fantasy, Magic, Shounen",1
Kaichou wa Maid-sama!,0.25286713286713286,"Comedy, Romance, School, Shoujo",1
Sword Art Online II,0.2525874125874126,"Action, Adventure, Fantasy, Game, Romance",1
Fullmetal Alchemist,0.25184149184149185,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",1
Soul Eater,0.2501631701631702,"Action, Adventure, Comedy, Fantasy, Shounen, Supernatural",1
Kuroko no Basket 2nd Season,0.2497902097902098,"Comedy, School, Shounen, Sports",1
Hyouka,0.24652680652680653,"Mystery, School, Slice of Life",1
Naruto,0.2456876456876457,"Action, Comedy, Martial Arts, Shounen, Super Power",1
High School DxD,0.24093240093240093,"Comedy, Demons, Ecchi, Harem, Romance, School",1
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,0.23347319347319348,"Action, Adventure, Comedy, Fantasy, Romance",1
Nisemonogatari,0.23272727272727273,"Comedy, Mystery, Supernatural",1
Kyoukai no Kanata,0.2302097902097902,"Fantasy, Slice of Life, Supernatural",1
Noragami Aragoto,0.22937062937062938,"Action, Adventure, Shounen, Supernatural",1
Btooom!,0.22806526806526806,"Action, Psychological, Sci-Fi, Seinen",1
Magi: The Kingdom of Magic,0.22806526806526806,"Action, Adventure, Fantasy, Magic, Shounen",1
Gekkan Shoujo Nozaki-kun,0.2276923076923077,"Comedy, Romance, School",1
Haikyuu!!,0.22675990675990676,"Comedy, Drama, School, Shounen, Sports",1
Re:Zero kara Hajimeru Isekai Seikatsu,0.22675990675990676,"Drama, Fantasy, Psychological, Thriller",1
Kami nomi zo Shiru Sekai,0.21958041958041957,"Comedy, Harem, Romance, Shounen, Supernatural",1
Kokoro Connect,0.21958041958041957,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",1
Bleach,0.21473193473193472,"Action, Comedy, Shounen, Super Power, Supernatural",1
Fate/stay night: Unlimited Blade Works 2nd Season,0.2123076923076923,"Action, Fantasy, Magic, Shounen, Supernatural",1
Tokyo Ghoul √A,0.2097902097902098,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",1
Deadman Wonderland,0.20904428904428904,"Action, Horror, Sci-Fi",1
Charlotte,0.20643356643356645,"Drama, School, Super Power",1
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,0.20643356643356645,"Sci-Fi, Thriller",1
Dragon Ball Z,0.20494172494172494,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",1
Darker than Black: Kuro no Keiyakusha,0.20363636363636364,"Action, Mystery, Sci-Fi, Super Power",1
High School DxD New,0.20195804195804196,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",1
Kami nomi zo Shiru Sekai II,0.20083916083916084,"Comedy, Harem, Romance, Shounen, Supernatural",1
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,0.19655011655011656,"Comedy, Drama, Romance, School",1
Golden Time,0.19505827505827505,"Comedy, Romance, Seinen",1
Tonari no Kaibutsu-kun,0.19403263403263404,"Comedy, Romance, School, Shoujo, Slice of Life",1
Boku no Hero Academia,0.19403263403263404,"Action, Comedy, School, Shounen, Super Power",1
Boku wa Tomodachi ga Sukunai,0.19347319347319347,"Comedy, Ecchi, Harem, Romance, School, Seinen, Slice of Life",1
Zetsuen no Tempest,0.19244755244755246,"Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",1
Accel World,0.191981351981352,"Action, Game, Romance, School, Sci-Fi",1
Steins;Gate: Oukoubakko no Poriomania,0.1891841491841492,"Sci-Fi, Thriller",1
Barakamon,0.1890909090909091,"Comedy, Slice of Life",1
Monogatari Series: Second Season,0.18806526806526808,"Comedy, Mystery, Romance, Supernatural, Vampire",1
Ookami to Koushinryou,0.1847086247086247,"Adventure, Fantasy, Historical, Romance",1
Kore wa Zombie Desu ka?,0.18312354312354312,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",1
Bakuman.,0.18144522144522143,"Comedy, Romance, Shounen",1
Boku wa Tomodachi ga Sukunai Next,0.18023310023310024,"Comedy, Harem, Romance, School, Seinen, Slice of Life",1
Baka to Test to Shoukanjuu,0.17986013986013985,"Comedy, Romance, School, Super Power",1
Suzumiya Haruhi no Shoushitsu,0.1795804195804196,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",1
Ansatsu Kyoushitsu (TV),0.17939393939393938,"Action, Comedy, School, Shounen",1
Ore no Imouto ga Konnani Kawaii Wake ga Nai,0.17836829836829837,"Comedy, Seinen, Slice of Life",1
Suzumiya Haruhi no Yuuutsu,0.17771561771561772,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",1
Danshi Koukousei no Nichijou,0.17585081585081586,"Comedy, School, Shounen, Slice of Life",1
